activity volunteer_id domain signal var axis var_avg
LAYING 1 f BodyAcc mean X -0.9390990524
LAYING 1 f BodyAcc mean Y -0.86706520518
LAYING 1 f BodyAcc mean Z -0.8826668762
LAYING 1 f BodyAcc std X -0.9244374346
LAYING 1 f BodyAcc std Y -0.8336255561
LAYING 1 f BodyAcc std Z -0.81289155944
LAYING 1 f BodyAccJerk mean X -0.9570738838
LAYING 1 f BodyAccJerk mean Y -0.9224626098
LAYING 1 f BodyAccJerk mean Z -0.9480609042
LAYING 1 f BodyAccJerk std X -0.9641607086
LAYING 1 f BodyAccJerk std Y -0.9322178704
LAYING 1 f BodyAccJerk std Z -0.9605869872
LAYING 1 f BodyGyro mean X -0.850249174586
LAYING 1 f BodyGyro mean Y -0.9521914948
LAYING 1 f BodyGyro mean Z -0.909302721
LAYING 1 f BodyGyro std X -0.8822964508
LAYING 1 f BodyGyro std Y -0.9512320494
LAYING 1 f BodyGyro std Z -0.9165825082
LAYING 1 t BodyAcc mean X 0.22159824394
LAYING 1 t BodyAcc mean Y -0.0405139534294
LAYING 1 t BodyAcc mean Z -0.11320355358
LAYING 1 t BodyAcc std X -0.9280564692
LAYING 1 t BodyAcc std Y -0.83682740562
LAYING 1 t BodyAcc std Z -0.826061401628
LAYING 1 t BodyAccJerk mean X 0.0810865342
LAYING 1 t BodyAccJerk mean Y 0.0038382040088
LAYING 1 t BodyAccJerk mean Z 0.010834236361
LAYING 1 t BodyAccJerk std X -0.958482112
LAYING 1 t BodyAccJerk std Y -0.9241492736
LAYING 1 t BodyAccJerk std Z -0.9548551108
LAYING 1 t BodyGyro mean X -0.016553093978
LAYING 1 t BodyGyro mean Y -0.064486124088
LAYING 1 t BodyGyro mean Z 0.14868943626
LAYING 1 t BodyGyro std X -0.87354386782
LAYING 1 t BodyGyro std Y -0.9510904402
LAYING 1 t BodyGyro std Z -0.9082846626
LAYING 1 t BodyGyroJerk mean X -0.107270949192
LAYING 1 t BodyGyroJerk mean Y -0.04151728689
LAYING 1 t BodyGyroJerk mean Z -0.0740501211
LAYING 1 t BodyGyroJerk std X -0.9186085208
LAYING 1 t BodyGyroJerk std Y -0.9679072436
LAYING 1 t BodyGyroJerk std Z -0.9577901596
LAYING 1 t GravityAcc mean X -0.24888179828
LAYING 1 t GravityAcc mean Y 0.70554977346
LAYING 1 t GravityAcc mean Z 0.4458177198
LAYING 1 t GravityAcc std X -0.8968300184
LAYING 1 t GravityAcc std Y -0.90772000676
LAYING 1 t GravityAcc std Z -0.85236629022
LAYING 2 f BodyAcc mean X -0.976725059791667
LAYING 2 f BodyAcc mean Y -0.979800877916667
LAYING 2 f BodyAcc mean Z -0.984380981875
LAYING 2 f BodyAcc std X -0.973246482083333
LAYING 2 f BodyAcc std Y -0.981025105625
LAYING 2 f BodyAcc std Z -0.984792185
LAYING 2 f BodyAccJerk mean X -0.985813630833333
LAYING 2 f BodyAccJerk mean Y -0.982768250416667
LAYING 2 f BodyAccJerk mean Z -0.986197134583333
LAYING 2 f BodyAccJerk std X -0.987250255833333
LAYING 2 f BodyAccJerk std Y -0.984987392916667
LAYING 2 f BodyAccJerk std Z -0.989345368541667
LAYING 2 f BodyGyro mean X -0.9864311425
LAYING 2 f BodyGyro mean Y -0.983321635416667
LAYING 2 f BodyGyro mean Z -0.9626718875
LAYING 2 f BodyGyro std X -0.988860685833333
LAYING 2 f BodyGyro std Y -0.981910616458333
LAYING 2 f BodyGyro std Z -0.963174222291667
LAYING 2 t BodyAcc mean X 0.281373403958333
LAYING 2 t BodyAcc mean Y -0.0181587397583333
LAYING 2 t BodyAcc mean Z -0.107245610416667
LAYING 2 t BodyAcc std X -0.974059464791667
LAYING 2 t BodyAcc std Y -0.98027739875
LAYING 2 t BodyAcc std Z -0.984233296875
LAYING 2 t BodyAccJerk mean X 0.0825972511666667
LAYING 2 t BodyAccJerk mean Y 0.012254788451875
LAYING 2 t BodyAccJerk mean Z -0.00180264895625
LAYING 2 t BodyAccJerk std X -0.98587216875
LAYING 2 t BodyAccJerk std Y -0.98317254125
LAYING 2 t BodyAccJerk std Z -0.988442014375
LAYING 2 t BodyGyro mean X -0.01847660675
LAYING 2 t BodyGyro mean Y -0.111800824583333
LAYING 2 t BodyGyro mean Z 0.144882846104167
LAYING 2 t BodyGyro std X -0.988275232916667
LAYING 2 t BodyGyro std Y -0.982291608958333
LAYING 2 t BodyGyro std Z -0.960306560416667
LAYING 2 t BodyGyroJerk mean X -0.101974134208333
LAYING 2 t BodyGyroJerk mean Y -0.0358590176083333
LAYING 2 t BodyGyroJerk mean Z -0.0701783020833333
LAYING 2 t BodyGyroJerk std X -0.993235849166667
LAYING 2 t BodyGyroJerk std Y -0.989567537916667
LAYING 2 t BodyGyroJerk std Z -0.98803582125
LAYING 2 t GravityAcc mean X -0.509754238125
LAYING 2 t GravityAcc mean Y 0.752536639375
LAYING 2 t GravityAcc mean Z 0.646834879583333
LAYING 2 t GravityAcc std X -0.959014441458333
LAYING 2 t GravityAcc std Y -0.988211865208333
LAYING 2 t GravityAcc std Z -0.984230418125
LAYING 3 f BodyAcc mean X -0.980665609032258
LAYING 3 f BodyAcc mean Y -0.961169982903226
LAYING 3 f BodyAcc mean Z -0.968332141612903
LAYING 3 f BodyAcc std X -0.983691129032258
LAYING 3 f BodyAcc std Y -0.964094604193548
LAYING 3 f BodyAcc std Z -0.96327908016129
LAYING 3 f BodyAccJerk mean X -0.980513202258064
LAYING 3 f BodyAccJerk mean Y -0.968752113709677
LAYING 3 f BodyAccJerk mean Z -0.979122344354839
LAYING 3 f BodyAccJerk std X -0.983122615967742
LAYING 3 f BodyAccJerk std Y -0.971044012741936
LAYING 3 f BodyAccJerk std Z -0.983711904677419
LAYING 3 f BodyGyro mean X -0.970167262903226
LAYING 3 f BodyGyro mean Y -0.978099682258065
LAYING 3 f BodyGyro mean Z -0.962341960806452
LAYING 3 f BodyGyro std X -0.975986433709677
LAYING 3 f BodyGyro std Y -0.977032495483871
LAYING 3 f BodyGyro std Z -0.967256854193548
LAYING 3 t BodyAcc mean X 0.275516852741935
LAYING 3 t BodyAcc mean Y -0.0189556785048387
LAYING 3 t BodyAcc mean Z -0.101300477506452
LAYING 3 t BodyAcc std X -0.982776639193548
LAYING 3 t BodyAcc std Y -0.962057544516129
LAYING 3 t BodyAcc std Z -0.96369103483871
LAYING 3 t BodyAccJerk mean X 0.0769811125806452
LAYING 3 t BodyAccJerk mean Y 0.0138041011306452
LAYING 3 t BodyAccJerk mean Z -0.00435625874355645
LAYING 3 t BodyAccJerk std X -0.98087931483871
LAYING 3 t BodyAccJerk std Y -0.968710724677419
LAYING 3 t BodyAccJerk std Z -0.982093162903226
LAYING 3 t BodyGyro mean X -0.0208170540330645
LAYING 3 t BodyGyro mean Y -0.0718507159435484
LAYING 3 t BodyGyro mean Z 0.137999561112903
LAYING 3 t BodyGyro std X -0.974545752096774
LAYING 3 t BodyGyro std Y -0.977272653709677
LAYING 3 t BodyGyro std Z -0.963505609032258
LAYING 3 t BodyGyroJerk mean X -0.10004449883871
LAYING 3 t BodyGyroJerk mean Y -0.0389771765322581
LAYING 3 t BodyGyroJerk mean Z -0.06873387
LAYING 3 t BodyGyroJerk std X -0.980328645
LAYING 3 t BodyGyroJerk std Y -0.986762741935484
LAYING 3 t BodyGyroJerk std Z -0.983338279516129
LAYING 3 t GravityAcc mean X -0.241758478064516
LAYING 3 t GravityAcc mean Y 0.837032099677419
LAYING 3 t GravityAcc mean Z 0.48870318516129
LAYING 3 t GravityAcc std X -0.982512193064516
LAYING 3 t GravityAcc std Y -0.981202749677419
LAYING 3 t GravityAcc std Z -0.964807543870968
LAYING 4 f BodyAcc mean X -0.958802077592593
LAYING 4 f BodyAcc mean Y -0.938883374444444
LAYING 4 f BodyAcc mean Z -0.967504278888889
LAYING 4 f BodyAcc std X -0.952464881481481
LAYING 4 f BodyAcc std Y -0.946380971111111
LAYING 4 f BodyAcc std Z -0.962154454259259
LAYING 4 f BodyAccJerk mean X -0.978542457407407
LAYING 4 f BodyAccJerk mean Y -0.943969987222222
LAYING 4 f BodyAccJerk mean Z -0.975383329444444
LAYING 4 f BodyAccJerk std X -0.980079292592593
LAYING 4 f BodyAccJerk std Y -0.944366881666667
LAYING 4 f BodyAccJerk std Z -0.980261236296296
LAYING 4 f BodyGyro mean X -0.967203736481482
LAYING 4 f BodyGyro mean Y -0.972187839074074
LAYING 4 f BodyGyro mean Z -0.961479262592593
LAYING 4 f BodyGyro std X -0.975094739444444
LAYING 4 f BodyGyro std Y -0.956182500185185
LAYING 4 f BodyGyro std Z -0.965807466666667
LAYING 4 t BodyAcc mean X 0.263559214981481
LAYING 4 t BodyAcc mean Y -0.0150031841055556
LAYING 4 t BodyAcc mean Z -0.110688150314815
LAYING 4 t BodyAcc std X -0.954193738888889
LAYING 4 t BodyAcc std Y -0.941714042407407
LAYING 4 t BodyAcc std Z -0.962667314814815
LAYING 4 t BodyAccJerk mean X 0.0934494217777778
LAYING 4 t BodyAccJerk mean Y 0.00693313213968519
LAYING 4 t BodyAccJerk mean Z -0.00641054328740741
LAYING 4 t BodyAccJerk std X -0.978302781111111
LAYING 4 t BodyAccJerk std Y -0.942209488333333
LAYING 4 t BodyAccJerk std Z -0.978511984259259
LAYING 4 t BodyGyro mean X -0.00923156347222222
LAYING 4 t BodyGyro mean Y -0.0930128180759259
LAYING 4 t BodyGyro mean Z 0.169720404092593
LAYING 4 t BodyGyro std X -0.973102422222222
LAYING 4 t BodyGyro std Y -0.961109291851852
LAYING 4 t BodyGyro std Z -0.962073755
LAYING 4 t BodyGyroJerk mean X -0.105019877685185
LAYING 4 t BodyGyroJerk mean Y -0.0381230432222222
LAYING 4 t BodyGyroJerk mean Z -0.0712156288333333
LAYING 4 t BodyGyroJerk std X -0.975103204259259
LAYING 4 t BodyGyroJerk std Y -0.986855629814815
LAYING 4 t BodyGyroJerk std Z -0.983965359814815
LAYING 4 t GravityAcc mean X -0.420664662222222
LAYING 4 t GravityAcc mean Y 0.915165104259259
LAYING 4 t GravityAcc mean Z 0.341531310555556
LAYING 4 t GravityAcc std X -0.921199965925926
LAYING 4 t GravityAcc std Y -0.969816635740741
LAYING 4 t GravityAcc std Z -0.976176608888889
LAYING 5 f BodyAcc mean X -0.968741678461538
LAYING 5 f BodyAcc mean Y -0.965419520961538
LAYING 5 f BodyAcc mean Z -0.977007724615385
LAYING 5 f BodyAcc std X -0.964953893653846
LAYING 5 f BodyAcc std Y -0.972909186730769
LAYING 5 f BodyAcc std Z -0.965882191153846
LAYING 5 f BodyAccJerk mean X -0.982689657115385
LAYING 5 f BodyAccJerk mean Y -0.965328566153846
LAYING 5 f BodyAccJerk mean Z -0.983250309423077
LAYING 5 f BodyAccJerk std X -0.985625270384615
LAYING 5 f BodyAccJerk std Y -0.96624258
LAYING 5 f BodyAccJerk std Z -0.986135599038461
LAYING 5 f BodyGyro mean X -0.975797491730769
LAYING 5 f BodyGyro mean Y -0.978249645769231
LAYING 5 f BodyGyro mean Z -0.963202948461538
LAYING 5 f BodyGyro std X -0.980705769807692
LAYING 5 f BodyGyro std Y -0.977257800961538
LAYING 5 f BodyGyro std Z -0.963305738076923
LAYING 5 t BodyAcc mean X 0.278334325576923
LAYING 5 t BodyAcc mean Y -0.0183042123269231
LAYING 5 t BodyAcc mean Z -0.107937603673077
LAYING 5 t BodyAcc std X -0.965934509615385
LAYING 5 t BodyAcc std Y -0.969295613269231
LAYING 5 t BodyAcc std Z -0.968562516346154
LAYING 5 t BodyAccJerk mean X 0.0848164824230769
LAYING 5 t BodyAccJerk mean Y 0.00747460829615385
LAYING 5 t BodyAccJerk mean Z -0.00304067159653846
LAYING 5 t BodyAccJerk std X -0.983307862115385
LAYING 5 t BodyAccJerk std Y -0.964560430961538
LAYING 5 t BodyAccJerk std Z -0.985419368461538
LAYING 5 t BodyGyro mean X -0.0218935013501923
LAYING 5 t BodyGyro mean Y -0.0798709596153846
LAYING 5 t BodyGyro mean Z 0.159894366942308
LAYING 5 t BodyGyro std X -0.979498706538461
LAYING 5 t BodyGyro std Y -0.977427370576923
LAYING 5 t BodyGyro std Z -0.960583776923077
LAYING 5 t BodyGyroJerk mean X -0.102114125
LAYING 5 t BodyGyroJerk mean Y -0.0404446925288462
LAYING 5 t BodyGyroJerk mean Z -0.07083096875
LAYING 5 t BodyGyroJerk std X -0.983422257692308
LAYING 5 t BodyGyroJerk std Y -0.983759479230769
LAYING 5 t BodyGyroJerk std Z -0.989679592307692
LAYING 5 t GravityAcc mean X -0.483470597692308
LAYING 5 t GravityAcc mean Y 0.954890346153846
LAYING 5 t GravityAcc mean Z 0.263644691923077
LAYING 5 t GravityAcc std X -0.945695336153846
LAYING 5 t GravityAcc std Y -0.985964053846154
LAYING 5 t GravityAcc std Z -0.977076645
LAYING 6 f BodyAcc mean X -0.939114254210526
LAYING 6 f BodyAcc mean Y -0.923706791403509
LAYING 6 f BodyAcc mean Z -0.938044912280702
LAYING 6 f BodyAcc std X -0.932462941461404
LAYING 6 f BodyAcc std Y -0.929711219929825
LAYING 6 f BodyAcc std Z -0.924004748421053
LAYING 6 f BodyAccJerk mean X -0.967072436842105
LAYING 6 f BodyAccJerk mean Y -0.936043420175439
LAYING 6 f BodyAccJerk mean Z -0.954425844736842
LAYING 6 f BodyAccJerk std X -0.968619159473684
LAYING 6 f BodyAccJerk std Y -0.935717452807018
LAYING 6 f BodyAccJerk std Z -0.963567540877193
LAYING 6 f BodyGyro mean X -0.935439769649123
LAYING 6 f BodyGyro mean Y -0.941771544385965
LAYING 6 f BodyGyro mean Z -0.932636612807018
LAYING 6 f BodyGyro std X -0.962164978596491
LAYING 6 f BodyGyro std Y -0.945365097894737
LAYING 6 f BodyGyro std Z -0.947136774385965
LAYING 6 t BodyAcc mean X 0.248656520140351
LAYING 6 t BodyAcc mean Y -0.0102529170561404
LAYING 6 t BodyAcc mean Z -0.133119570368421
LAYING 6 t BodyAcc std X -0.934049422052632
LAYING 6 t BodyAcc std Y -0.924644826385965
LAYING 6 t BodyAcc std Z -0.925216100350877
LAYING 6 t BodyAccJerk mean X 0.0963481955263158
LAYING 6 t BodyAccJerk mean Y -0.00114529240245614
LAYING 6 t BodyAccJerk mean Z 0.00328817288070175
LAYING 6 t BodyAccJerk std X -0.966341054736842
LAYING 6 t BodyAccJerk std Y -0.933674494385965
LAYING 6 t BodyAccJerk std Z -0.959646055263158
LAYING 6 t BodyGyro mean X -0.0079605026754386
LAYING 6 t BodyGyro mean Y -0.107218315054386
LAYING 6 t BodyGyro mean Z 0.179102058245614
LAYING 6 t BodyGyro std X -0.955378225087719
LAYING 6 t BodyGyro std Y -0.943634949473684
LAYING 6 t BodyGyro std Z -0.939141878596491
LAYING 6 t BodyGyroJerk mean X -0.111267284631579
LAYING 6 t BodyGyroJerk mean Y -0.0424104289992982
LAYING 6 t BodyGyroJerk mean Z -0.0717774743859649
LAYING 6 t BodyGyroJerk std X -0.939611608245614
LAYING 6 t BodyGyroJerk std Y -0.958628819649123
LAYING 6 t BodyGyroJerk std Z -0.959579071578947
LAYING 6 t GravityAcc mean X -0.47670987877193
LAYING 6 t GravityAcc mean Y 0.956593814210526
LAYING 6 t GravityAcc mean Z 0.175867709021053
LAYING 6 t GravityAcc std X -0.887746310350877
LAYING 6 t GravityAcc std Y -0.959161956491228
LAYING 6 t GravityAcc std Z -0.928130738421053
LAYING 7 f BodyAcc mean X -0.953424245576923
LAYING 7 f BodyAcc mean Y -0.942193953846154
LAYING 7 f BodyAcc mean Z -0.958611644615385
LAYING 7 f BodyAcc std X -0.931120580576923
LAYING 7 f BodyAcc std Y -0.922917902307692
LAYING 7 f BodyAcc std Z -0.953380646346154
LAYING 7 f BodyAccJerk mean X -0.980393046923077
LAYING 7 f BodyAccJerk mean Y -0.972531648846154
LAYING 7 f BodyAccJerk mean Z -0.969524977692308
LAYING 7 f BodyAccJerk std X -0.983560175384615
LAYING 7 f BodyAccJerk std Y -0.975886145
LAYING 7 f BodyAccJerk std Z -0.975072995192308
LAYING 7 f BodyGyro mean X -0.953684547692308
LAYING 7 f BodyGyro mean Y -0.957570207692308
LAYING 7 f BodyGyro mean Z -0.956905310961538
LAYING 7 f BodyGyro std X -0.962348254423077
LAYING 7 f BodyGyro std Y -0.939727873653846
LAYING 7 f BodyGyro std Z -0.9588764125
LAYING 7 t BodyAcc mean X 0.250176694038462
LAYING 7 t BodyAcc mean Y -0.0204411516884615
LAYING 7 t BodyAcc mean Z -0.101361036576923
LAYING 7 t BodyAcc std X -0.93651361
LAYING 7 t BodyAcc std Y -0.926262668653846
LAYING 7 t BodyAcc std Z -0.952978365961539
LAYING 7 t BodyAccJerk mean X 0.0968904018076923
LAYING 7 t BodyAccJerk mean Y 0.0250624183634615
LAYING 7 t BodyAccJerk mean Z -0.0131653918205769
LAYING 7 t BodyAccJerk std X -0.980977756153846
LAYING 7 t BodyAccJerk std Y -0.973093160192308
LAYING 7 t BodyAccJerk std Z -0.972983064230769
LAYING 7 t BodyGyro mean X -0.00282641913096154
LAYING 7 t BodyGyro mean Y -0.133605695057692
LAYING 7 t BodyGyro mean Z 0.155920029769231
LAYING 7 t BodyGyro std X -0.9601268225
LAYING 7 t BodyGyro std Y -0.945071935384615
LAYING 7 t BodyGyro std Z -0.955294890576923
LAYING 7 t BodyGyroJerk mean X -0.105944243484615
LAYING 7 t BodyGyroJerk mean Y -0.0358897425826923
LAYING 7 t BodyGyroJerk mean Z -0.0671901794615385
LAYING 7 t BodyGyroJerk std X -0.9738372325
LAYING 7 t BodyGyroJerk std Y -0.976483727307692
LAYING 7 t BodyGyroJerk std Z -0.988871878269231
LAYING 7 t GravityAcc mean X -0.502814250576923
LAYING 7 t GravityAcc mean Y 0.393444278076923
LAYING 7 t GravityAcc mean Z 0.907537823461538
LAYING 7 t GravityAcc std X -0.914221270096154
LAYING 7 t GravityAcc std Y -0.955543549230769
LAYING 7 t GravityAcc std Z -0.961908984423077
LAYING 8 f BodyAcc mean X -0.953538563888889
LAYING 8 f BodyAcc mean Y -0.951816663703704
LAYING 8 f BodyAcc mean Z -0.944269514074074
LAYING 8 f BodyAcc std X -0.940125298333333
LAYING 8 f BodyAcc std Y -0.931236756962963
LAYING 8 f BodyAcc std Z -0.931146497518519
LAYING 8 f BodyAccJerk mean X -0.973110596111111
LAYING 8 f BodyAccJerk mean Y -0.975877437407407
LAYING 8 f BodyAccJerk mean Z -0.962111136666667
LAYING 8 f BodyAccJerk std X -0.975959911481481
LAYING 8 f BodyAccJerk std Y -0.979170881666667
LAYING 8 f BodyAccJerk std Z -0.968699222962963
LAYING 8 f BodyGyro mean X -0.957903886111111
LAYING 8 f BodyGyro mean Y -0.957411160185185
LAYING 8 f BodyGyro mean Z -0.967461239074074
LAYING 8 f BodyGyro std X -0.967846360740741
LAYING 8 f BodyGyro std Y -0.950316470925926
LAYING 8 f BodyGyro std Z -0.970671966481481
LAYING 8 t BodyAcc mean X 0.261254282907407
LAYING 8 t BodyAcc mean Y -0.0212281733881481
LAYING 8 t BodyAcc mean Z -0.102245365611111
LAYING 8 t BodyAcc std X -0.94304121537037
LAYING 8 t BodyAcc std Y -0.93489116
LAYING 8 t BodyAcc std Z -0.932491454407407
